"idattribute","componentid","name","definition","units","value"
"299","81","SoilMap:Structure","Description of the aggregate characteristics of the soil particles",,"The soil has four layers of increasing thickness up to a depth of 3m each with the same soil properties. In addition there is a deeper layer (extending down to 6m below the surface) which has a saturated hydraulic conductivity which decreases exponentially with depth (Gedney and Cox, 2003)"
"300","81","SoilMap:Albedo","Ratio of reflected to incoming solar radiation on a land surface",,"Derived from MODIS data as defined in Houldcroft et al. (2008)"
"301","81","SoilMap:WaterTable","Description of the level of water saturation within the soil layer",,"As described in Gedney and Cox (2003)"
"302","82","SoilHydrologyAttributes:SpecificTiling","Does the model use a tiling scheme within soil hydrology?",,"no"
"303","82","SoilHydrologyAttributes:NumberOfGroundWaterLayers","Enter the number of ground water levels used in the land surface scheme/model",,"4"
"304","82","SoilHydrologyAttributes:WaterStorageMethod","Describe the method by which water is stored in the land surface scheme/model",,"Explicit diffusion"
"305","82","SoilMoistureFreezing:NumberOfGroundIceLayers","How many ground ice layers are included in the land surface scheme",,"4"
"306","82","SoilMoistureFreezing:IceStorageMethod","Describe the method of ice storage",,"Prognostic frozen fraction of saturation"
"307","82","SoilMoistureFreezing:Permafrost","Describe the treatment of permafrost within the land surface scheme",,"other"
"308","82","Runoff-Drainage:Method","Specify the treatment of runoff",,"differentiated drainage and runoff"
"309","82","Runoff-Drainage:Processes","Specify processes treated within the runoff and drainage scheme",,"deep drainage, infiltration excess runoff"
"310","180","SoilHeatTreatmentAttributes:SpecificTiling","Is tiling used in the treatment of soil heat? ",,"no"
"311","180","SoilHeatTreatmentAttributes:NumberOfGroundHeatLayers","How many layers are used in ground heat treatment?",,"4"
"312","180","Method:HeatStorage","Specify the method of heat storage",,"Explicit diffusion"
"313","180","Method:Processes","Describe processes included in the treatment of soil heat",,"soil moisture freeze-thaw"
"314","83","General Attributes:SpecificTiling","Is tiling used in the land surface snow scheme?",,"yes"
"315","83","General Attributes:NumberOfSnowLayers","How many snow layers are included in the model?",,"1"
"316","83","SchemeMethod:SnowAlbedo","List of biome types of the classification used.",,"diagnostic"
"317","83","SchemeMethod:SnowDensity","Description of the treatment of snow density",,"constant"
"318","83","SchemeMethod:SnowWaterEquivalent","Description of the treatment of the snow water equivalent",,"prognostic"
"319","83","SchemeMethod:SnowHeatContent","Description of the treatment of the heat content of snow",,"other"
"320","83","SchemeMethod:SnowTemperature","Description of the treatment of snow temperature",,"prognostic"
"321","83","SchemeMethod:SnowLiquidWaterContent","Description of the treatment of the snow liquid water treatment",,"N/A"
"322","83","SchemeMethod:SnowCoverFractions","Specify cover fractions used in the surface snow scheme",,"ground snow fraction, vegetation snow fraction"
"323","83","SchemeMethod:Processes","Implemented snow-related processes",,"snow interception, snow melting"
"324","84","General Attributes:SpecificTiling","Is tiling used in the surface vegetation scheme?",,"yes"
"325","84","General Attributes:VegetationRepresentation","Vegetation classification used.",,"vegetation types"
"326","84","General Attributes:VegetationTimeVariation","How the vegetation fractions in each tile are varying with time.",,"dynamical (varying from simulation)"
"327","84","General Attributes:Interception","Vegetation interception of rainwater represented?",,"yes"
"329","84","General Attributes:VegetationTypes","List of vegetation types in the classification.",,"broadleaf tree, C3 grass, C4 grass, needleleaf tree, other"
"331","84","SchemeMethod:Phenology","Description of the treatment of vegetation phenology",,"prognostic"
"332","84","SchemeMethod:LAI","Describe the treatment of the leaf area index",,"prognostic"
"333","84","SchemeMethod:Biomass","Describe the treatment of vegetation biomass",,"diagnostic"
"334","84","SchemeMethod:BioGeography","describe the treatment of vegetation biogeography",,"prognostic"
"335","84","SchemeMethod:StomatalResistanceFunctionOf","Specify the dependancies on vegetation stomatal resistance",,"CO2, light, temperature, water availability"
"336","85","General Attributes:SpecificTiling","Is tiling used in the surface energy balance scheme?",,"yes"
"337","85","General Attributes:NumberOfSurfaceTemperatures","Enter the number of surface temperatures used",,"9"
"338","85","General Attributes:SubsurfaceTiling","Is sub-surface tiling employed?",,"no"
"339","85","SchemeMethod:TypeOfEvaporationFormulation","Specify the formulation method for land surface evaporation",,"combined"
"340","85","SchemeMethod:Processes","Describe whih processes are included in the energy balance scheme",,"transpiration"
"341","86","General Attributes:SpecificTiling","Is tiling used in the surface albedo calcualtions?",,"yes"
"342","86","SnowFreeAlbedo:Type","Describe the treatment of snow-free land albedo",,"prognostic"
"343","86","SnowFreeAlbedo:FunctionOf","Describe the dependancies on snow free albedo calculations",,"vegetation state, vegetation type"
"344","86","SnowFreeAlbedo:Direct-Diffuse","Is there a distinction between direct and diffuse albedo?",,"no distinction between direct and diffuse albedo"
"345","86","SnowFreeAlbedo:NumberOfWavelenghBands","Enter the number of wavelength bands used",,"1"
"346","86","SnowAlbedo:Type","Describe the treatment of snow-covered land albedo",,"prognostic"
"347","86","SnowAlbedo:FunctionOf","Describe dependancies on snow albedo calculations",,"vegetation type"
"348","87","Soil:Method","Describe the methods used within the soil carbon cycle scheme",,"heterotrophic respiration"
"349","87","Soil:NumberOfCarbonPools","How many soil carbon cycle pools are used?",,"4"
"350","87","Soil:ListOfCarbonPools","List the names of the soil carbon pools used",,"DPM, RPM, BIO, HUM"
"351","87","Permafrost:ListOfGases","Which gases are included in permafrost?",,"N/A"
"352","88","General Attributes:NumberOfCarbonPools","Enter the number of carbon pools used",,"3"
"353","88","General Attributes:ListOfCarbonPools","List the carbon pools used within the model carbon cycle",,"leaf, wood, root carbon.  [These are diagnosed from the canopy height and LAI of the vegetation]"
"354","88","Photosynthesis:Method","Describe the method used for photosynthesis",,"carbon assimilation approach"
"355","88","AutotrophicRespiration:Method","Describe the treatment of autotrophic respiration",,"parametrized"
"356","88","AutotrophicRespiration:MaintenanceRespiration","Definition of property name MaintenanceRespiration required",,"whole plant (no distinction)"
"357","88","Allocation:AllocationBins","Specify the allocation of vegetation carbon bins",,"leaves + stems + roots"
"358","88","Allocation:AllocationFractions","Describe how the fractions of allocation are calculated",,"function of vegetation type"
"359","88","Phenology:Method","Describe the treatment of vegetation carbon cycle phenology",,"parametrized"
"360","89","General Attributes:SpecificTiling","Tiling of basins.",,"yes"
"361","89","General Attributes:Resolution","Is the resolution independant of the land surface resolution?",,"independent"
"362","89","General Attributes:NumberOfReservoirs","Enter the number of reservoirs",,"1"
"363","89","General Attributes:ListOfPrognosticVariables","Specify the prognostic variables within the river routing scheme",,"water"
"364","89","General Attributes:WaterRe-evaporation","Definition of property name WaterRe-evaporation required",,"N/A"
"365","89","General Attributes:CouplingWithAtmosphere","Is river routing coupled to the atmosphere model component?",,"yes"
"366","89","General Attributes:DrainageMap","What type of drainage map is being used?",,"present-day"
"367","89","General Attributes:QuantitiesExchangedWithAtmosphere","Which quantities are exchanged between river routing and the atmosphere model components?",,"water"
"368","89","OceanicDischarge:Type","Specify how rivers are discharged to the ocean",,"direct (large rivers)"
"369","89","OceanicDischarge:QuantitiesTransported","Which quantities are exchanged from river-routing to the ocean model component?",,"water"
"370","90","General Attributes:CouplingWithRivers","Are lakes coupled to the river routing model component?",,"no"
"371","90","General Attributes:QuantitiesExchangedWithRivers","Which quantities are exchanged between the lakes and rivers",,"other"
"372","90","SchemeMethod:IceTreatment","Is lake ice included?",,"no"
"373","90","SchemeMethod:LakesAlbedo","Describe the treatment of lake albedo",,"other"
"374","90","SchemeMethod:LakesDynamics","Which dynamics of lakes are treated? horizontal, vertical, etc. ",,"none"
"375","90","SchemeMethod:DynamicLakesExtent","|Is a dynamic lake extent scheme included?",,"no"
"376","90","SchemeMethod:EndorheicBasins"," basins not flowing to ocean.",,"no"
"377","64","TimeSteppingFramework:TimeSteppingMethod",,,"The atmospheric chemistry model uses the same timestep as the atmosphere model, but has an internal timestep of 5 mins for calculating the reactions"
"378","57","General Attributes:ModelFamily","Type of atmospheric model.",,"AGCM"
"379","57","General Attributes:BasicApproximations","Basic approximations made in the atmospheric model.",,"non-hydrostatic"
"380","57","General Attributes:VolcanoesImplementation","How the volcanoes effect is modeled in the atmophere.",,"via stratospheric aerosols optical thickness"
"381","57","General Attributes:VolcanoesImplementationMethod","Details of volcanoes implementation method.",,"monthly stratospheric optical    depths, at 550nm, prescribed for quarter-spheres (90S-30S, 30S-0, 0-30N, 30N-90N)"
"382","57","Orography:OrographyType","Time adaptation of the orography.",,"present-day"
"384","58","General Attributes:ListOfPrognosticVariables","List of the prognostic variables of the model.",,"clouds, potential temperature, vapour/solid/liquid, wind components"
"385","58","General Attributes:TopBoundaryCondition","Type of boundary layer at top of the model. sponge layer: A sponge layer is present at the top of the atmospheric model to prevent from gravity waves refection at the upper boundary.",,"radiation boundary condition"
"386","58","General Attributes:HeatTreatmentAtTop","Description of any specific treatment of heat at top of the model.",,"N/A"
"387","58","General Attributes:WindTreatmentAtTop","Description of any specific treatment of wind at top of the model.",,"N/A"
"388","58","General Attributes:LateralBoundaryCondition","Type of lateral boundary condition (only if the model is a RCM).",,"N/A"
"389","58","TimeSteppingFramework:SchemeType","Type of time stepping scheme.",,"semi-Implicit"
"390","58","TimeSteppingFramework:TimeStep","Time step of the model.","seconds","30 minutes"
"391","58","HorizontalDiscretization:SchemeType","Type of horizontal discretization scheme.",,"fixed grid"
"392","58","HorizontalDiscretization:PoleSingularityTreatment","Method used to deal with the pole singularities.",,"other"
"393","58","HorizontalDiscretization:SchemeMethod","Numerical method for the horizontal discretization scheme.",,"centered finite differences"
"394","58","HorizontalDiscretization:SchemeOrder","Order of the (centered) finite differences method used by the horizontal dicretization scheme.",,"second order"
"395","58","HorizontalDiffusion:SchemeName","Commonly used name of the horizontal diffusion scheme.",,"horizontal diffusion scheme"
"396","58","HorizontalDiffusion:SchemeMethod","Numerical method used by horizontal diffusion scheme.",,"iterated Laplacian"
"397","59","Tracers:SchemeName","Commonly used name for tracers advection scheme. Heun: Modified Euler (predictor-corrector) method with 4th order spatial differencing in the horizontal and 2nd order spatial differencing in the vertical. Roe and VanLeer: Flux corrected transport scheme comprised of the first order Roe Scheme and the Van Leer flux limiting scheme. Roe and Superbee: Flux corrected transport scheme comprised of the first order Roe Scheme and the Superbee flux limiting scheme. Prather: 1-dimensional, conservative scheme extended to multi-dimensions by operator splitting and conserves the 1st and 2nd-order moments. UTOPIA: Fully multidimensional, quasi-3rd-order, finite volume scheme.",,"other"
"398","59","Tracers:SchemeCharacteristics","Characteristics of the numerical scheme used for advection of tracers. cubic semi-Lagrangian: Semi-Lagrangian scheme with cubic interpolation. quintic semi-Lagrangian: Semi-Lagrangian scheme with quintic interpolation. linear: 1-dimensional, conservative scheme extended to multi-dimensions by operator splitting. quadratic: 1-dimensional, conservative scheme extended to multi-dimensions by operator splitting. quartic: 1-dimensional, conservative scheme extended to multi-dimensions by operator splitting.",,"cubic semi-Lagrangian,quintic semi-Lagrangian "
"399","59","Tracers:ConservedQuantities","Quantities conserved trought tracers advection scheme.",,"Tracer mass (all tracers)"
"400","59","Tracers:ConservationMethod","Method used to ensure conservation in tracers advection scheme.",,"conservation fixer"
"401","59","Momentum:SchemeName","Commonly used name for momentum advection scheme.",,"other"
"402","59","Momentum:SchemeCharacteristics","Characteristics of the numerical scheme used for advection of momentum.",,"staggered grid"
"403","59","Momentum:ConservedQuantities","Quantities conserved through momentum advection scheme.",,"Total energy"
"405","59","Momentum:StaggeringType","Type of staggered grid.",,"Arakawa C-grid"
"406","60","General Attributes:TimeStep","Time step of the radiative scheme.","seconds","3 hours"
"407","60","General Attributes:AerosolTypes","Types of aerosols whose radiative effect is taken into account in the atmospheric model.",,"BC (black carbon / soot), dust, nitrate, POM (particulate organic matter), sea salt, SOA (secondary organic aerosols), sulphate"
"408","60","General Attributes:GHG-Types","GHG whose radiative effect is taken into account in the atmospheric model.",,"CFC, CH4, CO2, H2O, N2O, O3"
"409","60","Longwave:SchemeType","Type of scheme used for longwave radiation parametrization.",,"K-correlated"
"410","60","Longwave:SchemeMethod","Method for the radiative transfert calculations used in the longwave scheme. two-stream: Discrete-ordinate scattering algorithm used to model the scattering of thermal infrared by clouds.",,"two-stream"
"411","60","Longwave:NumberOfSpectralIntervals","Number of spectral intervals of the longwave radiation scheme.",,"9"
"412","60","Shortwave:SchemeType","Type of scheme used for shortwave radiation parametrization.",,"other"
"413","60","Shortwave:NumberOfSpectralIntervals","Number of spectral intervals of the shortwave radiation scheme.",,"6"
"414","60","CloudRadiativeProperties:ice","Radiative properties of ice cristals in clouds.",,"Parameterised as function of ice mass mixing ratio and effective dimension."
"415","60","CloudRadiativeProperties:liquid","Radiative properties of cloud droplets.",,"Parameterised as function of liquid mass mixing ratio and effective radius."
"416","61","BoundaryLayerTurbulence:SchemeName","Commonly used name for boundary layer tubulence scheme.",,"other"
"417","61","BoundaryLayerTurbulence:SchemeType","Type of scheme used for parametrization of turbulence in the boundary layer.",,"vertical profile of Kz"
"418","61","BoundaryLayerTurbulence:CounterGradient","Application of a counter-gradient term for calculation of the vertical turbulent heat fluxes in case of slighlty stable layer; 
counter-gradient heat flux for parametrization of the nonlocal vertical diffusion.",,"yes"
"420","61","BoundaryLayerTurbulence:BLTurbulenceSchemeName",,,"after Lock et al. (2000)"
"421","61","DeepConvection:SchemeName","Commonly used name for deep convection scheme.",,"Gregory and Rowntree"
"422","61","DeepConvection:SchemeType","Type of scheme used for parametrization of deep convection.",,"mass-flux"
"423","61","DeepConvection:Processes","Physical processes taken into account in the parametrization of the deep convection. penetrative convection: Effects of penetrative convection taken into account. updrafts and downdrafts: Representation of updrafts and downdrafts.",,"convective momentum transport (CMT), detrainment, entrainment, radiative effects of anvils, updrafts and downdrafts"
"424","61","DeepConvection:SchemeMethod","Method for mass flux calculation in deep convection. CAPE: Mass flux determined by CAPE. bulk: A bulk mass flux scheme is used.",,"CAPE"
"425","61","ShallowConvection:Method","Method used for parametrization of shallow convection.",,"same as deep (unified)"
"426","61","ShallowConvection:SchemeName","Commonly used name for shallow convection scheme.",,"Grant and Brown"
"427","61","ShallowConvection:SchemeType","Type of scheme used for parametrization of shallow convection.",,"mass-flux"
"428","61","OtherConvection:SchemeName","Commonly used scheme name for other type convection.",,"Mid-Level Convection"
"429","61","OtherConvection:SchemeType","Type of scheme used for parametrization of other type of convection.",,"mass-flux"
"430","61","LargeScalePrecipitation:SchemeName","Commonly used name of the large scale precipitation parametrization scheme.",,"Wilson and Ballard (1999; updated)"
"431","61","LargeScalePrecipitation:PrecipitatingHydrometeors","Precipitating hydrometeors taken into account in the large scale precipitation scheme.",,"graupel, hail, liquid rain, snow"
"432","61","Microphysics:SchemeName","Commonly used name of the microphysics parametrization scheme.",,"Smith (1990) for cloud amount and cloud water content;  Wilson and Ballard (1999, updated) for cloud microphysics"
"433","61","Microphysics:Processes","Microphysical processes taken into account in the microphysics scheme.",,"cloud droplets, cloud ice, effect of graupel, effect of raindrops, effect of snow, ice nucleation, mixed phase, water vapour deposition"
"434","62","CloudSchemeAttributes:SeparatedCloudTreatment","Different cloud schemes for the different types of clouds (convective, stratiform and bondary layer clouds).",,"yes"
"435","62","CloudSchemeAttributes:CloudOverlap","Method for taking into account overlapping of cloud layers.",,"other"
"436","62","CloudSchemeAttributes:Processes","Cloud processes included in the cloud scheme (e.g. entrainment, detrainment, bulk cloud, etc.).",,"area cloud fraction, diagnostic RH_crit"
"437","62","CloudSchemeAttributes:CloudOverlapScheme",,,"Maximum-random overlap"
"438","62","SubGridScaleWaterDistribution:Type","Approach used for cloud water content and fractional cloud cover.",,"diagnostic"
"439","62","SubGridScaleWaterDistribution:FunctionName","Commonly used name of the probability density function (PDF) representing distribution of water vapor within a grid box.",,"symmetric triangular distribution"
"440","62","SubGridScaleWaterDistribution:FunctionOrder","Order of the function (PDF) used to represent subgrid scale water vapor distribution.",,"one moment"
"441","62","SubGridScaleWaterDistribution:CouplingWithConvection","Type(s) of convection the formation of clouds is coupled with.",,"coupled with deep and shallow"
"442","182","COSPAttributes:COSPRunConfiguration","Method used to run the CFMIP Observational Simulator Package.",,"inline"
"443","182","COSPAttributes:NumberOfGridpoints","Number of gridpoints used by COSP.",,"All"
"444","182","COSPAttributes:NumberOfColumns","Number of subcolumns used by COSP.",,"100"
"445","182","COSPAttributes:NumberOfLevels","Number of model levels used by COSP.",,"38"
"446","182","InputsRadar:RadarFrequency","CloudSat radar frequency.","GHz","94Ghz"
"447","182","InputsRadar:RadarType","Type of radar.",,"spaceborne"
"448","182","InputsRadar:UseGasAbsorption","Does the radar simulator include gaseous absorption?",,"yes"
"449","182","InputsRadar:UseEffectiveRadius","Is effective radius used by the radar simulator?",,"yes"
"450","182","InputsLidar:LidarIceType","Ice particle shape in lidar calculations.",,"Ice spheres"
"451","182","InputsLidar:Overlap","Overlap type.",,"max / random"
"452","182","ISSCPAttributes:TopHeight","Cloud top height management. IR brightness: Cloud top pressure adjusted using only the computed infrared IR brightness temperature. IR brightness and visible optical depth: Cloud top pressure adjusted using both a computed infrared IR brightness temperature and visible optical depth.",,"IR brightness and visible optical depth"
"453","182","ISSCPAttributes:TopHeightDirection","Direction for finding the radiance determined cloud-top pressure; atmosphere pressure level with interpolated temperature equal to the radiance determined cloud-top pressure.",,"highest altitude level"
"454","63","General Attributes:SpongeLayer","Sponge layer in the upper layers in order to avoid gravitywaves reflection at top.",,"N/A"
"455","63","General Attributes:Background","Background distribution of waves (???).",,"N/A"
"456","63","General Attributes:SubGridScaleOrography","Subgrid scale orography effects taken into account.",,"effect on drag"
"457","63","OrographicGravityWaves:SourceMechanisms","Physical mechanisms generating orographic gravity waves.",,"linear mountain waves, other"
"458","63","OrographicGravityWaves:CalculationMethod","Calculation method for orographic gravity waves.",,"other"
"459","63","OrographicGravityWaves:PropagationScheme","Type of propagation scheme for orographic gravity waves.",,"linear theory"
"460","63","OrographicGravityWaves:DissipationScheme","Type of dissipation scheme for orographic gravity waves.",,"single wave"
"461","63","OrographicGravityWaves:CalculationMethodDetail",,,"Accounts for the anisotropy of the sub-grid orography in calculating the surface stress."
"462","63","ConvectiveGravityWaves:PropagationScheme","Type of propagation scheme for convective gravity waves.",,"N/A"
"463","63","ConvectiveGravityWaves:DissipationScheme","Type of dissipation scheme for convective gravity waves.",,"N/A"
"464","63","Non-OrographicGravityWaves:SourceMechanisms","Physical mechanisms generating non-orographic gravity waves. background spectrum: Background distribution of waves that naturally occurs in the atmosphere (e.g. from convective fronts).",,"background spectrum"
"465","63","Non-OrographicGravityWaves:CalculationMethod","Calculation method for non-orographic gravity waves.",,"spatially dependent, temporally dependent"
"466","63","Non-OrographicGravityWaves:PropagationScheme","Type of propagation scheme for non-orographic gravity waves.",,"non-linear theory"
"467","63","Non-OrographicGravityWaves:DissipationScheme","Type of dissipation scheme for non-orographic gravity waves.",,"spectral"
"1068","222","General Attributes:ImpactOnOzone","Impact of TOA radiation on stratospheric ozone.",,"no"
"1069","222","SolarConstant:Type","Time adaptation of the solar constant.",,"transient"
"1071","222","SolarConstant:Characteristics","Description of the solar constant.",,"normalised to give a mean solar constant of 1365 Wm-2 over the 2 solar cycles 1860-1881."
"1072","222","OrbitalParameters:Type","Time adaptation of the orbital parameters.",,"fixed"
"1073","222","OrbitalParameters:ComputationMethod","Method used for computing orbital parameters.",,"Berger 1978"
"1074","222","OrbitalParameters:ReferenceDate","Reference year for orbital parameters.",,"2000"
