"idtModelComponent","parentComponentID","modelID","name","description","type","level","contactid"
"95","94","7","Ocean Bio Tracers Ecosystem","The eleven ocean ecosystem tracers can be divided into three groups (a) nutrients: dissolved inorganic nitrogen (DIN, which is the sum of dissolved nitrate, nitrite and ammonium), dissolved ammonium, dissolved silicate and dissolved iron; (b) living organisms: diatoms, diatom silicate, other non-diatom phytoplankton and zooplankton; and (c) other particles: detrital carbon, detrital nitrogen and detrital silicate.

a) Nutrients: The initial field for DIN at the start of the spinup was from the World Ocean Atlas (2005). It is taken up by diatoms and other non-diatom phytoplankton, recycled from those compartments and from zooplankton and detrital nitrogen. Dissolved ammonium is an optional prognostic tracer, but the rate of diatom and other non-diatom phytoplankton growth rates do not depend on its concentration because they depend on DIN, which includes dissolved ammonia. The cycle of dissolved ammonia is calculated in parallel with that of DIN, so that the cycle of dissolved nitrate (which is not a tracer, but the difference between DIN and ammonium) can be inferred. Dissolved silicate is taken up by diatoms for shell formation, recycled from detrital silicate (by dissolution). Dissolved iron is taken up by diatoms and other non-diatom phytoplankton, recycled from those compartments and from zooplankton (no iron is present in detritus). Atmospheric dust deposited on the ocean is a source of dissolved iron. Although all the dissolved iron is available for biological uptake only the free (non-complexed) iron can be adsorbed onto (implicit) mineral particles and removed permanently from the model ocean. To calculate the partition between free and complexed iron a constant density of total (free and complexed) ligand and a partition constant are assumed. 

b) Living organisms: Diatoms are described in terms of their nitrogen content and their growth is limited by DIN, dissolved silicate and light. They are subject to predation by the zooplankton and to natural mortality, and they sink at 1 m/day. The rate at which they take up silicate is a factor times the DIN uptake rate, the factor being a function of the dissolved iron concentration with a high Si:N ratio where iron is a limiting nutrient. Because the Si:N uptake ratio varies, the Si:N ratio in diatoms also varies so diatom silicate has to be a separate prognostic variable. Its source is the uptake of dissolved silicate during diatom growth, and it becomes detrital silicate when the diatom dies by predation or natural mortality. It sinks at 1 m/day, like the diatoms. Other non-diatom phytoplankton are described in terms of their nitrogen content and represent all phytoplankton except those that are diatoms. Their growth is limited by DIN and light. They are subject to predation by zooplankton and to natural mortality. They do not sink. They have a lower maximum growth rate than diatoms, but it is reduced less by iron limitation. Calcium carbonate is formed in proportion to the growth rate of this compartment (it is recognised that not all non-diatom phytoplankton calcify, and this is accounted for in the proportionality). Zooplankton are described in terms of their nitrogen content). They feed on diatoms, other non-diatom phytoplankton and detritus (detrital nitrogen and detrital carbon). They have dynamic feeding preferences which depend on the relative concentrations of the prey (Fasham et al., 1990). The base preference for diatoms varies with the degree of iron limitation, to represent the observed effect that iron-limited diatoms are more heavily silicified and so less appetising to predators. The rate of feeding depends on the absolute prey concentration, weighted by preference. The zooplankton respire (with a corresponding excretion of nitrogen to balance their carbon:nitrogen ratio) and suffer natural mortality, the latter term implicitly including the effects of higher trophic levels. 

c) Other particles: Detrital carbon and detrital nitrogen are described in terms of their carbon and nitrogen contents respectively, and represent the elemental fractions of detrital particles. Their sources are (fractions of) the natural mortalities of diatoms, other non-diatom phytoplankton and zooplankton, and messy feeding and egestion of un-assimilated food by zooplankton. They sink at a constant speed of 10 m/day. They are remineralised to DIC or DIN at a specific rate that is inversely proportional to depth (up to an absolute maximum specific rate). If they sink to the sea-floor they are instantly remineralised and the products evenly spread over the bottom three levels of the water-column.  Detrital silicate comes from the natural mortality of diatoms and their predation by zooplankton. It sinks at a constant speed of 10 m/day, and returns to dissolved silicate at a constant specific rate (which is depth-independent). Any that reaches the sea-floor is instantly remineralised and the resulting dissolved silicate spread over the bottom three levels of the water-column. 
","OceanBioTracersEcosystem","3","32"
"96","91","7","Ocean Bio Chemistry","As well as the ocean carbon chemistry (described in the Ocean Bio Gas Exchange component), calcium carbonate is formed in proportion to the growth of the other non-diatom phytoplankton The total calcium carbonate formed in a water-column in a time-step is instantly re-dissolved with a constant depth profile in the level containing the 2300 m depth contour and in all levels below that but above the sea-floor (no calcium carbonate is formed in water-columns that are shallower than 2300 m).","OceanBioChemistry","2","32"
"97","NULL","7","Ocean","The ocean component is based on the Bryan-Cox code (Bryan, 1969; Cox, 1984) and follows the ocean component of HadGEM1 (Johns et al., 2006) very closely. The model uses a latitude-longitude grid with a zonal resolution of 1 degree, and a meridional resolution of 1 degree between the poles and 30 degrees, from which it increases smoothly to 0.333 degrees at the equator - giving a grid of 360 x 216 points. It has 40 unevenly spaced levels in the vertical, with enhanced resolution near the surface better to resolve the mixed layer and thermocline. The forward timestep period is 1 hour, with a mixing timestep of once per day. HadGEM2 uses a bathymetry derived from the Smith and Sandwell (1997) 1/30 degrees depth dataset merged with ETOPO5 (1988) 1/12 degrees data at high latitudes, interpolated to the model grid and smoothed using a five-point (1:4:1) two-dimensional filter. Where this procedure obstructs important narrow pathways (e.g., Denmark Strait, Faroes-Shetland Channel, Vema Channel, and around the Indonesian archipelago), the bathymetry is adjusted to allow some flow at realistic depths (with reference to Thompson, 1995). The land masks for the ocean grid differs from that used for the atmosphere model, due to the differences in model resolutions. To enable daily coupling between the models a tiling scheme has been introduced. For each atmosphere grid box, fractions of the fluxes can be coupled to land, sea and sea ice models so that the total flux is conserved - though locally the flux may not be conserved so diagnosis can be difficult. The only ancillary flux used by the ocean model is to enable a balance in the freshwater flux to be maintained, since the accumulation of frozen water on land is not returned into the freshwater cycle, i.e. there is no representation of icebergs calving off ice shelves. The ancillary flux is used to add freshwater back into the model, calibrated from a HadGEM2 reference integration to give a balanced freshwater budget.","Ocean","1","31"
"98","97","7","Ocean Advection","A pseudo fourth-order advection scheme (Pacanowski and Griffies, 1998) is used, which is more accurate and generates less grid-scale noise than a second-order scheme, and includes upstream mixing at the ocean bottom to improve model stability there. A simple semi-implicit representation of linear bottom friction is included which removes momentum at the ocean bottom depending on the magnitude of the velocities found there.","OceanAdvection","2","31"
"99","97","7","Ocean Lateral Physics","Isopycnal diffusivity takes a constant value of 500 m2 s-1 using the Griffies et al. (1998) scheme; the Gent and McWilliams (1990) adiabatic mixing scheme in the skew flux form (Griffies, 1998) is used with a spatially and temporally varying coefficient (Visbeck et al., 1997; Roberts, 2004), a minimum value of 150 m2s-1 and maximum of 2000 m2s-1, and spatial distribution with higher values in the western boundary currents and Antarctic Circumpolar Current. The biharmonic adiabatic scheme of Roberts and Marshall (1998) is used with a coefficient of 1.0e+12 cos3(latitude) m4 s-1. The cos(latitude) factor is required for numerical reasons owing to the convergence of meridians at high latitude. Horizontally aligned biharmonic tracer mixing in the top 20m (top two model layers), with coefficient 2.5e+12 cos3(latitude) m4 s-1 is included to partially represent enhanced mixing at the ocean surface. Momentum diffusion uses both a modified Laplacian scheme with a coefficient of 750(1-cos(latitude)) m2s-1 (modified to reduce the westward currents on the equator, giving better agreement with observations) and a biharmonic scheme with coefficient 1.0e+13 cos3(lat) m4 s-1.","OceanLateralPhysics","2","31"
"100","99","7","Ocean Lateral Physics Momentum","The model uses an implicit linear free surface (Dukowicz and Smith, 1994) to solve for the barotropic mode, using a conjugate gradient solver, and this scheme allows for a more realistic representation of freshwater fluxes than was possible with HadCM3.","OceanLateralPhysicsMomentum","3","17"
"101","99","7","Ocean Lateral Physics Tracers","The active tracers (temperature and salinity) are advected using a fourth-order scheme. ","OceanLateralPhysicsTracers","3","17"
"102","99","7","Ocean Straits","There is a parameterisation of flow into three marginal seas where the passages are not resolved by the model grid. Mediterranean water is partially mixed with Atlantic water across the Strait of Gibraltar (constant flux of 0.4Sv over the top 80m and out at 600m). The Red Sea has 0.2Sv fluxed in over the top 20m and out at 40-60m. The Persian Gulf has 0.1Sv fluxed in over the top 20m and out at 40-60m. The flux volumes used are based on observed values, although the Mediterranean value was reduced because the model does not represent many of the mixing processes that would modulate the water as it flows over the sill.","OceanStraits","3","17"
"103","97","7","Ocean Vertical Physics","Convective mixing in the model uses the Rahmstorf (1993) full convection scheme. The equation of state remains the UNESCO, 1981 polynomial approximation. There are limits on the model surface salinity which is not allowed to go outside the range 5-45 psu. The vertical tracer diffusivity has been lowered in the upper 1000m of the ocean to the edge of the uncertainty range. This has the effect of reducing mixing with the cooler subsurface water, increasing the SSTs and alleviating the subsurface cooling in the tropics.","OceanVerticalPhysics","2","31"
"104","103","7","Ocean Mixed Layer","The mixed layer is represented by the Kraus and Turner (1967) bulk mixed layer for tracers, together with a quadratic representation of the Large et al. (1994) scheme for momentum mixing in the mixed layer. ","OceanMixedLayer","3","31"
"105","103","7","Ocean Interior Mixing","Vertical mixing beneath the mixed layer is performed by the Peters et al. (1988) scheme; this is a Richardson-number dependent scheme, and its parameters have been altered to better fit the observed data in their paper by Cusack (2004). This change reduces the excessive noise near the ocean surface. There is also a modification to the standard vertical mixing scheme to enhance the mixing at the base of the mixed layer, to increase the communication between the ocean surface and the deeper layers and make the profile more similar to that observed.","OceanInteriorMixing","3","31"
"106","97","7","Ocean Boundaries","The vertical levels are distributed to provide enhanced resolution near to the ocean surface and are the same as those in the previous coarser horizontal resolution version of the model. The topography was taken from the ETOPO5 (1988) 1/12 degree resolution dataset and interpolated onto the model grid. A simple smoother was applied to remove gridscale noise.","OceanUpandLowBoundaries","2","17"
"107","106","7","Ocean Boundary Forcing","It has been shown that the Bryan-Cox type models are highly sensitive to the depth of the various channels along the Greenland-Iceland-Scotland ridge. Many of these channels are sub-gridscale and so three routes (one grid point wide on the velocity grid) through the ridge were 'excavated'. The Denmark Strait and Iceland-Faeroes ridge were reduced to 797.9m (bottom of level 12), while the Faeroe-Scotland ridge was set to 534.7m (bottom of model level 11). This leads to a long-term mean outflow of approximately 8.5Sv in the coupled simulation, compared with the observed outflow of around 5-6Sv (Dickson and Brown, 1994). An island is also placed at the North Pole to avoid the polar singularity in the spherical co-ordinate system.","OceanBoundaryForcing","3","17"
"108","106","7","Ocean Boundary Forcing Tracers","There is no reference salinity, instead salinity limits are applied: 5-45 psu. An enhancement of the vertical and horizontal diffusion in the ocean wherever a river outflow occurs has been introduced to correct a known systematic salty bias close to the Amazon at a depth of 150m. The sunlight penetration scheme uses two bands with one more penetrative from Paulson and Simpson (1977), assuming pure water type 1B with coefficients adjusted.","OceanBoundaryForcingTracers","3","31"
"180","81","7","Land Surface Soil Heat Treatment","As in MOSES I, subsurface temperatures are updated using a discretised form of the heat diffusion equation, which is coupled to the soil hydrology module through (i) soil water phase changes and the associated latent heat and (ii) soil thermal characteristics which are dependent on soil moisture content (liquid water and ice). The temperature of a soil layer of a particular thickness is incremented by the diffusive heat fluxes into and out of the layer and the net heat flux advected from the layer by the moisture flux. ","LandSurfaceSoilHeatTreatment","3","17"
"182","61","7","Cloud Simulator","The COSP (CFMIP (Cloud Feedback Model Intercomparison Project) Observational Simlator Package) is a flexible software tool that enables the simulation of data from several satellite-borne sensors from model variables. It facilitates the use of satellite data to evaluate models in a process-oriented and consistent way. The flexibility of COSP makes it suitable to be used in any type of numerical model, from high-resolution cloud-resolving models to coarse-resolution models like the GCMs used in climate modelling, and the scales in between used in weather forecast models. The fact that COSP includes several simulators under the same interface facilitates the implementation of a range of simulators in models. A general description of COSP is given in Bodas-Salcedo et al. (2011). The following instrument simulators are included: CloudSat (Haynes et al., 2007), CALIPSO (Chepfer et al., 2008), ISCCP (Klein and Jakob, 1999; Webb et al., 2001), MISR (Marchand and Ackerman, 2010), and MODIS.","CloudSimulator","3","38"
"179","91","7","Ocean Bio Time Step Framework","Time stepping is controlled by ocean transport model.","OceanBioChemistry","2","32"
"111","NULL","7","Sea Ice","The sea-ice model is split between the atmosphere and ocean model components. The atmosphere part calculates the atmosphere-ice heat fluxes, the diffusive heat flux through the ice, the ice surface temperature and surface melting. This allows the diurnal cycle of the surface temperature to be modelled whilst only coupling between the atmosphere and ocean components once a day. The ocean part deals with the remaining thermodynamics, calculates basal melting by heat supplied from the mixed layer, keeps account of snow and ice thickness changes including conversion of submerged snow to ice, and deals with ice dynamics (including ridging) using daily mean fields of the atmospheric forcings supplied via coupling routines. A multiple ice thickness category model which solves the basic equation of Thorndike et al. (1975), is used to capture the sub-gridscale ice thickness distribution.  The model uses five ice categories plus open water (leads).  Ice thickness affects many sea ice properties and processes, including the growth rate, ice strength and surface energy fluxes. As ice thickness can vary greatly within the grid box length scale, a multiple ice category model should lead to an improved representation of sea ice processes.  ","SeaIce","1","34"
"112","111","7","Sea Ice Thermodynamics","The zero-layer thermodynamics model of Semtner (1976) is used which is applied separately to each ice thickness category.  There is a one snow layer on top of the ice in each category.  Once the thermodynamic ice and snow growth rates have been calculated, the linear remapping scheme of Lipscomb (2001) is used to compute the transfer of ice between categories.  Ocean to ice heat flux parameterisation uses the McPhee (1992) scheme that uses both the ocean-ice temperature difference and the friction velocity in the flux parameterisation. The ocean-ice heat flux is proportional to the ice concentration for concentrations greater than 0.05. For lower concentrations, the grid box integral of the heat flux is independent of concentration to simulate the increased heat flux on small floes in the marginal ice zone.","SeaIceThermodynamics","2","34"
"113","111","7","Sea Ice Dynamics","The ice velocities are computed using the Elastic-Viscous-Plastic dynamics of Hunke and Dukowitz (1997). The ice momentum and stress state equations are solved to balance the effect of wind stress, ocean currents, Coriolis term and the internal ice stresses while maintaining a viscous plastic ice rheology. Ice is allowed to flow across the North Pole despite the ocean model having a polar island.  Ice is advected using a first-order upwind advection scheme.  The mechanical redistribution (or ridging scheme) of the Los Alamos CICE model (Hunke and Lipscomb, 2004) is also included, which can convert thinner ice to thicker ice within a grid box.","SeaIceDynamics","2","34"
"114","111","7","Sea Ice Albedo","The ice albedo scheme is based on the scheme of Ebert and Curry (1993) with a parameterisation based on SHEBA observations. The bare ice albedo is modified (Semtner, 1987) to simulate internal scattering processes in the zero layer scheme, which acts to delay the onset of melt. In addition, the snow parameterisation scheme used in the land surface scheme is included, which allows for partial and semi-transparent snow cover. The snow albedo is modified by surface temperature, representing the increase in liquid water content. As a consequence the surface albedo, in addition to surface air temperature, is highly responsive to modelled snow fall events.","SeaIceAlbedo","2","34"
"222","57","7","Top of Atmosphere Insolation","This component enables features of relevance to the top of the atmosphere to be included in the model, i.e. impact of TOA radiation on stratospheric ozone, solar constant information and orbital parameters.","TOAInsolation","2","17"
